company_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
91440000MADNK47L8G,0.0,0.0,0.0,0.614092,0.0,0.0,0.1979439,0.31258,0.99809074,0.0,0.8909391,0.0,0.82925195,0.3764002,0.0,0.0,0.0,0.0,0.33059606,0.54375356,0.8873021,0.0,0.39127356,0.0,0.0,0.0,0.16106114,0.70775455,0.0,0.0,0.8593657,0.0,0.0,0.8087361,0.0,0.0,0.0,0.36331362,0.902114,0.2545573,0.8184858,0.0,0.8148087,0.5757316,0.79284674,0.0,0.0,0.81826377,0.8707108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313341,0.16070096,0.0,0.16676192,0.39054543,0.0,0.9231216,0.90967995
91440300MA5HRHAL06,0.0,0.0,0.0,0.6054802,0.0,0.0,0.17092298,0.27670568,1.0172403,0.0,0.9336602,0.0,0.8578574,0.3816801,0.0,0.0,0.0,0.0,0.31027627,0.54381603,0.92018014,0.0,0.38772514,0.0,0.0,0.0,0.12407606,0.72652394,0.0,0.0,0.8863694,0.0,0.0,0.85195154,0.0,0.0,0.0,0.33732778,0.9268389,0.23845524,0.8446685,0.0,0.8345874,0.56709456,0.8369026,0.0,0.0,0.83651614,0.89096457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76635814,0.14087,0.0,0.14745076,0.38556108,0.0,0.9481772,0.94202834
91440101MA5AQDU541,0.0,0.0,0.006664103,0.5734656,0.0,0.0,0.4297035,0.53583014,0.74635017,0.08184407,0.63453174,0.0,0.641043,0.3348816,0.0,0.0,0.0,0.0,0.5210054,0.3899044,0.69009537,0.011247594,0.34266406,0.0,0.0,0.0,0.4019494,0.48889372,0.0,0.0,0.60451984,0.0,0.0,0.5208179,0.0,0.0,0.016688365,0.5361874,0.670993,0.38652265,0.5362556,0.0,0.6032889,0.5894829,0.47056317,0.0,0.0,0.5968884,0.6024319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44187728,0.31370986,0.0,0.34429273,0.38867506,0.0,0.67587674,0.5871646
91440300MADN5D039E,0.0,0.0,0.0,0.6054802,0.0,0.0,0.17092296,0.27670568,1.0172403,0.0,0.9336602,0.0,0.8578574,0.3816801,0.0,0.0,0.0,0.0,0.31027627,0.54381603,0.92018014,0.0,0.38772514,0.0,0.0,0.0,0.12407606,0.72652394,0.0,0.0,0.8863694,0.0,0.0,0.8519515,0.0,0.0,0.0,0.33732778,0.9268389,0.23845524,0.8446685,0.0,0.8345874,0.56709456,0.8369026,0.0,0.0,0.83651614,0.89096457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76635814,0.14087,0.0,0.14745076,0.38556108,0.0,0.9481772,0.94202834
91440118MADN3D7G9W,0.0,0.0,0.0,0.614092,0.0,0.0,0.1979439,0.31258,0.99809074,0.0,0.8909391,0.0,0.82925195,0.3764002,0.0,0.0,0.0,0.0,0.33059606,0.54375356,0.8873021,0.0,0.39127356,0.0,0.0,0.0,0.16106114,0.70775455,0.0,0.0,0.8593657,0.0,0.0,0.8087361,0.0,0.0,0.0,0.36331362,0.902114,0.2545573,0.8184858,0.0,0.8148087,0.5757316,0.79284674,0.0,0.0,0.81826377,0.8707108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313341,0.16070098,0.0,0.16676192,0.39054543,0.0,0.9231216,0.90967995
91440300MACM90CQ7A,0.3400597,0.0,0.29186666,0.30372965,0.0,0.0,0.16946732,0.0,1.0910568,0.0,0.79699486,0.0,0.4397307,0.2087692,0.0,0.0,0.0,0.0,0.38650602,0.0,1.023095,0.0,0.15697864,0.07242536,0.22511946,0.0,0.11734157,0.23810586,0.0,0.0,0.42667338,0.044055983,0.0,0.64326733,0.0,0.0,0.0,0.024268117,0.5902134,0.0,0.517315,0.0,0.61429983,0.0,0.830243,0.0,0.0,0.8187109,0.9293049,0.0,0.019248992,0.0,0.0,0.0,0.0,0.0,0.81817687,0.20383343,0.0,0.0,0.0,0.0,0.4503078,0.5376844
91440104MACCLRUY7P,0.0,0.0,0.0,0.614092,0.0,0.0,0.1979439,0.31258,0.99809074,0.0,0.8909391,0.0,0.82925195,0.3764002,0.0,0.0,0.0,0.0,0.33059606,0.54375356,0.8873021,0.0,0.39127356,0.0,0.0,0.0,0.16106114,0.70775455,0.0,0.0,0.8593657,0.0,0.0,0.8087361,0.0,0.0,0.0,0.36331362,0.902114,0.2545573,0.8184858,0.0,0.8148087,0.5757316,0.79284674,0.0,0.0,0.81826377,0.8707108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313341,0.16070096,0.0,0.16676192,0.39054543,0.0,0.9231216,0.90967995
91441900MAE55MNM0H,0.0,0.0,0.0,0.61640644,0.0,0.0,0.18453932,0.30077878,1.0100942,0.0,0.9116303,0.0,0.8409932,0.38024664,0.0,0.0,0.0,0.0,0.31901583,0.54416466,0.8992932,0.0,0.39563802,0.0,0.0,0.0,0.14508532,0.714448,0.0,0.0,0.879882,0.0,0.0,0.83131915,0.0,0.0,0.0,0.3485002,0.915692,0.2454917,0.8380717,0.0,0.82372284,0.5754268,0.81492096,0.0,0.0,0.8288809,0.8868636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74729353,0.15232502,0.0,0.15782355,0.38709402,0.0,0.9443419,0.9252629
91440300MACYHDQ117,0.0,0.0,0.0,0.6054802,0.0,0.0,0.17092298,0.27670568,1.0172403,0.0,0.9336602,0.0,0.8578574,0.3816801,0.0,0.0,0.0,0.0,0.31027627,0.54381603,0.92018014,0.0,0.38772514,0.0,0.0,0.0,0.12407606,0.72652394,0.0,0.0,0.8863694,0.0,0.0,0.85195154,0.0,0.0,0.0,0.33732778,0.9268389,0.23845524,0.8446685,0.0,0.8345874,0.56709456,0.8369026,0.0,0.0,0.83651614,0.89096457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76635814,0.14087,0.0,0.14745076,0.38556108,0.0,0.9481772,0.94202834
91441900MAE9MFMNXH,0.0,0.0,0.0,0.61640644,0.0,0.0,0.18453932,0.30077878,1.0100942,0.0,0.9116303,0.0,0.8409932,0.38024664,0.0,0.0,0.0,0.0,0.31901583,0.54416466,0.8992932,0.0,0.39563802,0.0,0.0,0.0,0.14508532,0.714448,0.0,0.0,0.879882,0.0,0.0,0.83131915,0.0,0.0,0.0,0.3485002,0.915692,0.2454917,0.8380717,0.0,0.82372284,0.5754268,0.81492096,0.0,0.0,0.8288809,0.8868636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74729353,0.15232502,0.0,0.15782355,0.38709402,0.0,0.9443419,0.9252629
91441900MAE9W1PY5U,0.0,0.0,0.0,0.61640644,0.0,0.0,0.18453932,0.30077878,1.0100942,0.0,0.9116303,0.0,0.8409932,0.38024664,0.0,0.0,0.0,0.0,0.31901583,0.54416466,0.8992932,0.0,0.39563802,0.0,0.0,0.0,0.14508532,0.714448,0.0,0.0,0.879882,0.0,0.0,0.83131915,0.0,0.0,0.0,0.3485002,0.915692,0.2454917,0.8380717,0.0,0.82372284,0.5754268,0.81492096,0.0,0.0,0.8288809,0.8868636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74729353,0.15232502,0.0,0.15782355,0.38709402,0.0,0.9443419,0.9252629
91441900MAECTQJX3N,0.0,0.0,0.0,0.61640644,0.0,0.0,0.18453932,0.30077878,1.0100942,0.0,0.9116303,0.0,0.8409932,0.38024664,0.0,0.0,0.0,0.0,0.31901583,0.54416466,0.8992932,0.0,0.39563802,0.0,0.0,0.0,0.14508532,0.714448,0.0,0.0,0.879882,0.0,0.0,0.83131915,0.0,0.0,0.0,0.3485002,0.915692,0.2454917,0.8380717,0.0,0.82372284,0.5754268,0.81492096,0.0,0.0,0.8288809,0.8868636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74729353,0.15232502,0.0,0.15782355,0.38709402,0.0,0.9443419,0.9252629
