统一社会信用代码,公司名称,企业标准名,所属城市,所属区县,成立日期,企业类型标签,产业链环节,产业链判定依据,成立年份分层,专利活跃度分层,样本分层标签,专利总量,累计发明申请量,近3年发明申请量,首次申请年份,最近申请年份,有专利申请年份数,技术持续性,技术领域广度,联合申请占比,年度发明申请量_2010,年度发明申请量_2011,年度发明申请量_2012,年度发明申请量_2013,年度发明申请量_2014,年度发明申请量_2015,年度发明申请量_2016,年度发明申请量_2017,年度发明申请量_2018,年度发明申请量_2019,年度发明申请量_2020,年度发明申请量_2021,年度发明申请量_2022,年度发明申请量_2023,年度发明申请量_2024
91440300MA5FA4QL2L,丰翼科技(深圳)有限公司,丰翼科技(深圳)有限公司,深圳市,宝安区,2018-08-31,服务平台类,中游,无人机、飞行器、航空、智能无人飞行器、航空器,2010-2019,高专利,深圳市|2010-2019|服务平台类|高专利,39,39,18,2016,2023,8,1.1429,24,0.0,0,0,0,0,0,0,1,4,2,8,4,2,7,11,0
91440300671877217N,深城交科技集团股份有限公司,深城交科技集团股份有限公司,深圳市,龙华区,2008-01-14,投资发展类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,23,23,23,2024,2024,1,0.0588,12,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
914403007787549030,深圳市好盈科技股份有限公司,深圳市好盈科技股份有限公司,深圳市,龙岗区,2005-07-27,投资发展类,中游,飞行器、智能无人飞行器、控制系统,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,14,14,12,2018,2024,4,0.2,8,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,9
91440300279392266B,深圳市科卫泰实业发展有限公司,深圳市科卫泰实业发展有限公司,深圳市,宝安区,1997-10-09,投资发展类,中游,航空、航空器、测绘、系统集成,2010-2019,中专利,深圳市|2010-2019|投资发展类|中专利,14,14,6,2018,2024,5,0.1786,14,0.0,0,0,0,0,0,0,0,0,1,3,0,4,0,1,5
91440300319491403H,哈瓦国际航空技术(深圳)有限公司,哈瓦国际航空技术(深圳)有限公司,深圳市,龙华区,2014-11-25,服务平台类,中游,无人机、航空、航空器、测绘、遥感,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,13,13,1,2018,2023,5,0.4545,10,0.0,0,0,0,0,0,0,0,0,2,1,8,1,0,1,0
914403003116581250,深圳联合飞机科技有限公司,深圳联合飞机科技有限公司,深圳市,龙岗区,2014-09-23,产业运营类,中游,飞行器、航空、智能无人飞行器、航空器、测绘,2010-2019,中专利,深圳市|2010-2019|产业运营类|中专利,12,12,12,2023,2024,2,0.1818,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
91440300MA5G0YNU5T,美团科技有限公司,美团科技有限公司,深圳市,龙华区,2019-12-25,服务平台类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,11,11,11,2023,2024,2,0.3333,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
91440300319512147W,深圳市喜悦智慧数据有限公司,深圳市喜悦智慧数据有限公司,深圳市,龙华区,2014-10-27,产业运营类,中游,系统集成,2010-2019,中专利,深圳市|2010-2019|产业运营类|中专利,6,6,6,2023,2024,2,0.1818,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
914403000589938852,深圳市大疆灵眸科技有限公司,深圳市大疆灵眸科技有限公司,深圳市,南山区,2012-12-13,服务平台类,中游,无人机,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,6,6,0,2015,2017,3,0.2308,4,0.0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0
91440300687582704U,顺丰科技有限公司,顺丰科技有限公司,深圳市,南山区,2009-04-07,服务平台类,中游,无人机、系统集成,2010-2019,中专利,深圳市|2010-2019|服务平台类|中专利,4,4,3,2020,2022,2,0.125,4,0.0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
